Images,Labels
CR_0258,0
CR_0467,1
CR_0627,1
CR_0516,1
CR_0496,1
CR_0415,1
CR_0257,0
CR_0255,0
CR_0125,0
CR_0176,0
CR_0369,1
MR_0311,1
CR_0293,0
CR_0445,1
CR_0226,0
CR_0462,1
CR_0058,0
MR_0099,0
CR_0337,1
CR_0609,1
MR_0017,0
CR_0524,1
CR_0449,1
MR_0195,1
MR_0042,0
CR_0433,1
CR_0067,0
CR_0623,1
CR_0124,0
CR_0564,1
CR_0073,0
CR_0466,1
CR_0092,0
CR_0014,0
CR_0647,1
CR_0587,1
CR_0275,0
CR_0163,0
MR_0061,0
CR_0339,1
CR_0334,1
CR_0191,0
CR_0485,1
CR_0215,0
CR_0594,1
CR_0050,0
CR_0142,0
MR_0166,1
CR_0345,1
CR_0043,0
MR_0024,0
CR_0090,0
CR_0184,0
CR_0633,1
CR_0162,0
CR_0253,0
CR_0636,1
CR_0231,0
CR_0161,0
MR_0144,1
MR_0071,0
CR_0207,0
MR_0082,0
CR_0601,1
CR_0093,0
CR_0298,0
CR_0512,1
MR_0002,0
MR_0350,1
CR_0135,0
CR_0569,1
CR_0299,0
CR_0608,1
CR_0576,1
CR_0507,1
CR_0380,1
CR_0577,1
CR_0198,0
CR_0521,1
CR_0371,1
CR_0631,1
CR_0340,1
MR_0102,0
CR_0113,0
CR_0519,1
CR_0256,0
CR_0150,0
CR_0077,0
CR_0511,1
CR_0261,0
CR_0493,1
CR_0278,0
CR_0005,0
CR_0470,1
CR_0545,1
CR_0441,1
CR_0543,1
MR_0015,0
CR_0629,1
CR_0624,1
CR_0239,0
CR_0249,0
MR_0313,1
CR_0066,0
CR_0332,1
CR_0084,0
CR_0352,1
CR_0210,0
CR_0174,0
MR_0097,0
CR_0320,0
CR_0045,0
CR_0263,0
CR_0598,1
CR_0303,0
CR_0075,0
CR_0183,0
CR_0302,0
CR_0305,0
CR_0048,0
CR_0450,1
CR_0012,0
CR_0085,0
CR_0387,1
